Вишневский; Я.Л.;2001; Одиночество в сети;400;
Петросян; М.;2009; Дом,  в котором находится Джек;200;
Остен; Дж.;2005; Гордость и предубеждение;416;
Мартин; Д.Р.;1996; Игра престолов;694;
Коэльо; П.;1988; Алхимик;163;
Зюскинд; Патрик;1985; Парфюмер;400;
Достоевский; Ф.М.;1866; Преступление и наказание;574;
Толстой; Л.Н.;1878; Анна Каренина;450;
Булгаков; М.А.;1937; Мастер и Маргарита;310;
Сэлинджер; Д.Д.;1951; Над пропастью во ржи;213;
Габриэль; Г.М.;1967; Сто лет одиночества;480;
Вейер; Э.;2011; Марсианин;384;
Дюма; А.;1844; Граф Монте-Кристо;1240;
Вишневский; Я.Л.;2001; Одиночество в сети;400;
Достоевский; Ф.М.;1868; Идиот;640;
Лермонтов; М.Ю.;1840; Герой нашего времени;150;
Стивен; К.;1999; Зеленая миля;448;
Митчелл; М.;1860; Унесенные ветром;370;
Пьюзо; М.;1969; Крестный отец;720;
Грин; А.;1922; Алые паруса;128;
Браун; Д.;2003; Код да Винчи;189;
Хэмингуэй; Э.;1952; Старик и море;85;
Браун; Д.;2013; Инферно;490;
Хейли; А.;1968; Аэропорт;604;
Дойл; А.К.;1892; Приключения Шерлока Холмса;144;
Айзексон; У.;2005; Стив Джобс;112;
Набоков; В.;1955; Лолита;260;
Коллинз; С.;2009; Голодные игры;380;
Хокинг; С.;1988; Кратчайшая история времени;230;
Пушкин; А.С;1832; Евгений Онегин;150;
Пастернак; Б.;1957; Доктор Живаго;700;
Гоголь; Н.В.;1842; Мертвые Души;410;
Грибоедов; А.С.;1824; Горе от ума;160;
Гончаров; И.А.;1859; Обломов;350;
Оруэлл; Дж;1976;1984;432;
Харпер; Ли;1984; Убить пересмешника;419;
Хемингуэй; Э;1983; По ком звонит колокол;567;
Бунин; И;1978; Легкое дыхание;467;
Маркес; Г;1987; Сто лет одиночества;382;
Мопассан; Г;1973; Милый друг;492;
